GeneId,GeneName,Chromosome,Strand,GeneStart,GeneEnd,KaryotypeBand,Synonyms
ENSG00000223875,NBEAP3,22,-1,16100517,16124973,q11.1,40004
ENSG00000215270,TOMM40P2,22,1,16122720,16123768,q11.1,ENSG00000215270;LA16c-60H5.7;OTTHUMG00000140200
ENSG00000206195,DUXAP8,22,-1,16147979,16193004,q11.1,AP000525.9;ENSG00000206195;Hs.633919;OTTHUMG00000185288
ENSG00000232775,BMS1P22,22,1,16157079,16172700,q11.1,AP000525.10;ENSG00000232775;Hs.649334;OTTHUMG00000140198
ENSG00000225255,PSLNR,22,-1,16199666,16231333,q11.1,ENSG00000225255;LA16c-83F12.6;OTTHUMG00000140260
ENSG00000235992,GRAMD4P2,22,1,16227138,16228807,q11.1,39654
ENSG00000198062,POTEH,22,-1,16256441,16287937,q11.1,133
ENSG00000236666,POTEH-AS1,22,1,16274560,16278602,q11.1,40058
ENSG00000212216,RNU6-816P,22,-1,16276398,16276504,q11.1,47779
ENSG00000234381,MED15P7,22,1,16333633,16342783,q11.1,48656
ENSG00000224435,NF1P6,22,1,16345912,16355362,q11.1,7771
ENSG00000231565,NEK2P2,22,1,16364867,16366204,q11.1,37816
ENSG00000235759,ARHGAP42P3,22,1,16424125,16427059,q11.1,19327
ENSG00000130538,OR11H1,22,-1,16448824,16449805,q11.1,15404
ENSG00000236831,YME1L1P1,22,-1,16485399,16487973,q11.1,12844
ENSG00000236097,BNIP3P2,22,-1,16627920,16628496,q11.1,39655
ENSG00000184624,ZNF72P,22,1,16634898,16651926,q11.1,13142
ENSG00000225293,ABCD1P4,22,1,16868420,16871613,q11.1,65
ENSG00000229658,PABPC1P9,22,1,16904668,16906756,q11.1,37991
ENSG00000227367,SLC9B1P4,22,-1,16909690,16957613,q11.1,43583
ENSG00000226444,ACTR3BP7,22,1,16967410,16969212,q11.1,38683
ENSG00000235969,CHEK2P4,22,1,16984194,16990365,q11.1,43580
ENSG00000239435,KCNMB3P1,22,-1,17061816,17063607,q11.1,6288
ENSG00000198445,CCT8L2,22,-1,17071667,17073700,q11.1,15553
ENSG00000240122,FABP5P11,22,-1,17075979,17076375,q11.1,19328
ENSG00000100181,TPTEP1,22,1,17082777,17179632,q11.1,43648
ENSG00000249288,SLC25A15P5,22,-1,17126585,17127471,q11.1,39846
ENSG00000249263,PARP4P3,22,-1,17134782,17140518,q11.1,274
ENSG00000189295,ANKRD62P1-PARP4P3,22,-1,17134956,17160374,q11.1,42393
ENSG00000259271,ANKRD62P1,22,-1,17151980,17160383,q11.1,42363
ENSG00000241717,VWFP1,22,-1,17170993,17185367,q11.1,12727
ENSG00000235343,LINC01665,22,-1,17227759,17229535,q11.1,101929350;AC005301.8;ENSG00000235343;Hs.561087;Hs.668938;OTTHUMG00000153504
ENSG00000172967,XKR3,22,-1,17264302,17302589,q11.1,28778
ENSG00000229027,HSFY1P1,22,1,17308364,17310225,q11.1,1846
ENSG00000234121,GPM6BP3,22,1,17318412,17318556,q11.1,38783
ENSG00000220248,ZNF402P,22,-1,17338509,17341608,q11.1,19292
ENSG00000228122,MTND1P17,22,-1,17357108,17357311,q11.1,42095
ENSG00000230481,IGKV1OR22-5,22,-1,17385109,17385586,q11.1,5773
ENSG00000253691,IGKV2OR22-4,22,-1,17395125,17395871,q11.1,5813
ENSG00000253460,IGKV2OR22-3,22,-1,17402333,17403063,q11.1,5812
ENSG00000254264,IGKV3OR22-2,22,-1,17406842,17407334,q11.1,5833
ENSG00000253481,IGKV1OR22-1,22,-1,17414411,17414893,q11.1,5772
ENSG00000215568,GAB4,22,-1,17442826,17489112,q11.1,18325
ENSG00000237438,CECR7,22,1,17517460,17541715,q11.1,1845
ENSG00000177663,IL17RA,22,1,17565844,17596583,q11.1,5985
ENSG00000183307,TMEM121B,22,-1,17597189,17602257,q11.1,1844
ENSG00000235478,LINC01664,22,1,17602476,17612994,q11.1,AC006946.15;ENSG00000235478;Hs.714550;OTTHUMG00000153502
ENSG00000069998,HDHD5,22,-1,17618401,17646177,q11.1,1843
ENSG00000185837,HDHD5-AS1,22,1,17640274,17646335,q11.1,1842
ENSG00000093072,ADA2,22,-1,17660194,17702879,q11.1,1839
ENSG00000236325,RPL32P5,22,1,17673826,17674198,q11.1,AC005300.5;ENSG00000236325;OTTHUMG00000150066
ENSG00000203416,FAM32BP,22,1,17694618,17695045,q11.1,30945
ENSG00000241832,CECR3,22,-1,17737749,17747623,q11.1,1841
ENSG00000231004,CECR9,22,1,17809924,17810122,q11.1,1847
ENSG00000239547,RN7SL843P,22,-1,17833773,17834067,q11.1,46859
ENSG00000099954,CECR2,22,1,17840837,18037850,q11.1-q11.21,1840
ENSG00000232305,CLCP1,22,-1,17903436,17903823,q11.21,19257
ENSG00000228045,DNAJA1P6,22,-1,17997708,17998061,q11.21,39342
ENSG00000182902,SLC25A18,22,1,18043139,18073760,q11.21,10988
ENSG00000131100,ATP6V1E1,22,-1,18074902,18111584,q11.21,857
ENSG00000099968,BCL2L13,22,1,18111621,18213388,q11.21,17164
ENSG00000015475,BID,22,-1,18216906,18257536,q11.21,1050
ENSG00000264757,MIR3198-1,22,-1,18246946,18247025,q11.21,38236
ENSG00000269220,LINC00528,22,1,18260088,18262247,q11.21,26875
ENSG00000243156,MICAL3,22,-1,18270415,18507325,q11.21,24694
ENSG00000207780,MIR648,22,-1,18463634,18463727,q11.21,32904
ENSG00000237446,RHEBP3,22,1,18501980,18502966,q11.21,44992
ENSG00000235295,LINC01634,22,1,18512151,18520734,q11.21,100192420;ENSG00000235295;Hs.589947;OTTHUMG00000153506;XXbac-B476C20.17
ENSG00000215193,PEX26,22,1,18560689,18613905,q11.21,22965
ENSG00000225225,ARL2BPP10,22,-1,18585223,18586415,q11.21,39454
ENSG00000183785,TUBA8,22,1,18593097,18629321,q11.21,12410
ENSG00000184979,USP18,22,1,18632666,18660164,q11.21,12616
ENSG00000187979,FAM230D,22,-1,18660805,18688682,q11.21,AC008079.9;ENSG00000187979;OTTHUMG00000150103
ENSG00000182824,FAM230E,22,1,18721427,18745407,q11.21,AC008132.1;ENSG00000182824
ENSG00000197421,GGT3P,22,-1,18761178,18830912,q11.21,4252
ENSG00000234764,E2F6P1,22,1,18821207,18821951,q11.21,AC008132.12;ENSG00000234764;OTTHUMG00000150178
ENSG00000215544,BCRP7,22,-1,18843134,18846153,q11.21,39075
ENSG00000183628,DGCR6,22,1,18893541,18901751,q11.21,2846
ENSG00000100033,PRODH,22,-1,18900294,18924066,q11.21,9453
ENSG00000237517,DGCR5,22,1,18958027,19018755,q11.21,16757
ENSG00000241527,CA15P1,22,-1,19019077,19022077,q11.21,44364
